scene	object	% occlusion
1	chef	77.2
1	trex	69.3
1	para	67.8
1	chicken	85
2	chef	81.3
2	trex	71.3
2	para	72.2
2	chicken	65.7
3	chef	79.1
3	trex	83.5
3	para	74.6
3	chicken	60.7
4	chef	62.8
4	trex	84
4	para	84.1
4	chicken	62.5
5	chef	80.8
5	trex	75.2
5	para	79
5	chicken	61.4
6	chef	83.58
6	trex	72.31
6	para	67.5
6	chicken	89.7
7	chef	80.4
7	trex	74.1
7	para	86.4
7	chicken	61.8
8	chef	62.9
8	trex	71.7
8	para	84.4
8	chicken	82.3
9	chef	62.3
9	trex	87.4
9	para	81.3
9	chicken	65.6
10	chef	67.7
10	trex	80.2
10	para	91.4
10	chicken	61.4
11	chef	73.7
11	trex	72.7
11	chicken	81.4
12	chef	67.6
12	trex	77.3
12	chicken	68.7
13	chef	72.9
13	trex	83.9
13	chicken	81.3
14	chef	71
14	para	78.1
14	chicken	76.5
15	chef	78
15	para	75.1
15	chicken	68.2
16	chef	77.3
16	para	72.1
16	chicken	71.5
17	chef	71.6
17	trex	76.5
17	chicken	73.4
18	chef	77.4
18	trex	69.9
18	para	82
18	chicken	63
19	chef	83.3
19	trex	74.1
19	para	72.2
19	chicken	64.1
20	chef	76.4
20	para	76.1
20	chicken	66.7
21	chef	73.8
21	para	82.1
21	chicken	63.5
22	chef	78.3
22	trex	77.4
22	para	78.9
22	chicken	61
23	chef	70.4
23	trex	68.1
23	para	67.7
24	chef	77.5
24	trex	71.9
24	para	79.3
24	chicken	77.5
25	chef	71.1
25	trex	78.1
25	para	67.2
25	chicken	83.9
26	chef	82.9
26	trex	69.4
26	para	70.3
26	chicken	86.5
27	chef	84
27	trex	69.2
27	para	70.1
27	chicken	74.5
28	chef	89.4
28	trex	71.2
28	para	67.7
28	chicken	78.5
29	chef	82.8
29	trex	77.7
29	para	67.1
29	chicken	83.9
30	chef	75.9
30	trex	74.7
30	para	68.1
30	chicken	86.7
31	chef	80.8
31	trex	69.8
31	para	74
32	chef	82.1
32	trex	65.7
32	para	71.6
32	chicken	89.5
33	chef	82.9
33	trex	65.4
33	para	78.1
33	chicken	71.4
34	chef	79.1
34	trex	83.8
34	para	76.2
34	chicken	62.9
35	chef	78.3
35	trex	84.3
35	para	76.3
35	chicken	61
36	chef	76.5
36	trex	83
36	para	78.8
36	chicken	61.1
37	chef	76.2
37	trex	79
37	para	74
37	chicken	61.9
38	chef	80.7
38	trex	71.4
38	para	89
38	chicken	61.7
39	chef	86.2
39	trex	68
39	para	81.6
39	chicken	74.7
40	chef	73
40	trex	84.1
40	para	74.9
40	chicken	70.9
41	chef	75.2
41	trex	71
41	para	87
41	chicken	64.6
42	chef	84.1
42	trex	71.2
42	para	77.4
42	chicken	64.6
43	chef	91.3
43	trex	70
43	para	69
43	chicken	74.5
44	chef	81.2
44	trex	71.9
44	chicken	69.2
45	chef	83.2
45	trex	69
45	para	81.2
45	chicken	72.9
46	chef	81.6
46	trex	68.8
46	para	78.7
46	chicken	67.9
47	chef	81
47	trex	74.2
47	para	79.4
47	chicken	64.3
48	chef	80.9
48	trex	77.3
48	para	76.9
48	chicken	66.6
49	chef	76.1
49	trex	82.3
49	para	76.1
49	chicken	77.4
50	chef	83.3
50	trex	82.6
50	para	83.9
50	chicken	64.5
